Company Name,Required Skills,Date,Link
FekraTechnologySolutionsandConstruction,Python Developer For Job portal Experienced IT/Software Development Engineering - Telecom/Technology backend Computer Science Django Flask Git Information Technology (IT) postgres Python,2 days ago,https://wuzzuf.net/jobs/p/KUTCuOGVL8tR-Python-Developer-For-Job-portal-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
HouyaArrow,Senior Python Developer Experienced IT/Software Development Engineering - Telecom/Technology Python Computer Science Development Software Software Development SDLC Web Web Applications,16 days ago,https://wuzzuf.net/jobs/p/zUUX37RxbzZo-Senior-Python-Developer-Houya-Arrow-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
GetTechForce.com,Python Developer Experienced IT/Software Development Engineering - Telecom/Technology Computer Science Development Django Information Technology (IT) Design Python Quality Assurance SDLC,21 days ago,https://wuzzuf.net/jobs/p/jivXxxqgHi77-Python-Developer-GetTechForce-com-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
PaymobSolutions,Python Developer Experienced IT/Software Development Engineering - Telecom/Technology Computer Science Django Design Docker Flask Git Information Technology (IT) Python,28 days ago,https://wuzzuf.net/jobs/p/98lwNx3qZxxA-Python-Developer-Paymob-Solutions-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
ITWORX,Senior Software Engineer (Python) Experienced IT/Software Development Engineering - Telecom/Technology Computer Science Information Technology (IT) Python Django AWS Software Engineering Software Development PostgreSQL,28 days ago,https://wuzzuf.net/jobs/p/JPMDUOX23tJq-Senior-Software-Engineer-Python-ITWORX-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Peerless,Junior Odoo Developer Entry Level IT/Software Development Engineering - Telecom/Technology Odoo PostgreSQL jQuery JavaScript XML HTML Odoo Development odoo migration,1 day ago,https://wuzzuf.net/jobs/p/Bp1db8EU4O3k-Junior-Odoo-Developer-Peerless-Giza-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
